Job Role ID,Job Role Title,Job Role Description,Job Role Identifier,Job Role Skills and Experience,Job Role Created Date,Job Role Modified Date,CLIENT_NAME,CLIENT_REGION
85,Financial Accountant - Australia Shunyi,"Provide timely and accurate financial and management accounting and finance business partnering for Australia Shunyi investment and farm business unit. The role involves financial and management accounting activities, payroll support, governance and compliance, and effective finance business partnering across the organization.",Financial Accountant - Australia Shunyi,"Qualified person in a related field with demonstrated experience in a similar roleQualified CA/CPA or working towards, with 1-2 years' experiencePreferred experience working in an agricultural business, or similar related sectorSignificant experience in financial accounting and application of relevant accounting standardsExperience assisting in payroll processingExcellence in high performance finance business partnering with diverse teams to assist them to deliver and/or exceed annual KPI'sExcellent organisational and time management skillsExcellent understanding and experience in software platformsExcellent relationship building skills with internal and external stakeholdersExcellent verbal and written communication skills and leading diverse teams",2026-07-01 23:47:12+00:00,2026-07-06 02:41:47+00:00,balco,SYD
242,FAN - QLD - Operations Administration Officer,,FAN - QLD - Operations Administration Officer,,2026-06-25 01:24:14+00:00,2026-07-08 04:13:36+00:00,fantech,SYD
5,Department Manager,"Responsibility for managing a diverse range of functions. Departmental Managers typically report to General Managers or senior executives and form part of the senior leadership group to advise and implement strategic and business decisions.  Note: In circumstances where a Manager has responsibility for a specialist activity and/or function, it is possible the position can report to another Manager, usually responsible for a complete Department.  As an example at Mort & Co, the Manager (Cotton Seed Processing) may report to the Manager (Manufacturing).",DM,"Knowledge: Departmental operations, compliance, workforce and financial management. Skills: Team leadership, problem-solving, project management. Experience: 5–8 years’ experience managing teams or business units",2025-10-22 00:50:13+00:00,2025-10-22 00:50:13+00:00,mortco,SYD
59,Product Engineering Specialist,"PurposeThe Technical Communicator supports the service team across the Emmetts group by providing advanced technical assistance. This position serves as the central link between technicians, service management and John Deere Dealer Technical Assistance to ensure efficient problem resolution and improved machine uptime.By leveraging John Deere diagnostic tools, machine data, and Expert Alerts, the Technical Communicator proactively identifies issues, provides actionable insights, and supports the service team in resolving complex machine problems. The role also contributes to developing and refining service processes, sharing best practices, and facilitating ongoing training and mentorship to strengthen technical capability across the group.The Technical Communicator ensures that customers and the service team, receive accurate, timely, and professional support that upholds the dealership’s commitment to quality, efficiency, and customer satisfaction.Responsibilities  Provide technical support and mentorship across all branches, assisting technicians with diagnosing and resolving complex machine issues using Expert Connect to reduce customer downtime.Act as the primary liaison with the John Deere Technical Assistance Centre (DTAC), ensuring all necessary information is accurately documented in CCMS prior to case submission.Monitor incoming Expert Alerts, Diagnostic Trouble Codes, and data from Machine Dashboard, distributing information to relevant branches and initiating proactive customer contact to assess machine health for necessary service department intervention.Perform remote diagnostics using Service ADVISOR™ Remote, Remote Display Access (RDA), and other John Deere tools to efficiently identify and resolve issues.Provide guidance on non-standard installations, product modifications, and product accessories to ensure safety and compliance.Identify and escalate potential machine down concerns before they result in costly downtime.Use John Deere technology and machine data to provide actionable insights and recommendations that help customers make informed operational decisions.Facilitate knowledge sharing and best practices among Service Managers, Technicians, and others to drive continuous improvement.Maintain a positive and professional working relationship with peers, management, and support resources, with a constant commitment to teamwork and exceptional customer service.Participate in training programs to continuously enhance skills and knowledge, ensuring current understanding of both John Deere and competitive products. ",Product Engineering Specialist,"3+ years' experience in service diagnostics, specializing in diesel machinery.Certified Diesel Mechanic with proficiency in John Deere and competitors' equipment.Independent problem-solver with strong technical and diagnostic skills.Proficient in Microsoft Office and internet functions.Outstanding customer service and communication abilities.",2025-09-03 00:41:06+00:00,2026-06-12 00:27:46+00:00,emmetts,SYD
38,Management Accountant,"The Management Accountant is responsible for future focused financial activities, responsible for providing efficient and effective financial performance forecasting and strategy across TGL at the consolidated and departmental level and ensuring accurate and timely payroll processing. The role also oversees the development and currency of long-term financial planning, budget planning. financial analysis and strategic insights to support development of TGL’s financial strategies. The role will also support the development of financial acumen and commercial awareness and behaviour across the business.As part of the role’s responsibilities, the incumbent may from time to time be contacted or required to work outside their normal hours of work due to operational requirements or in response to unforeseen circumstances. This might include preparation of papers for board and executive committee meetings.",Management Accountant,"PERSON SPECIFICATIONQualifications:· Qualifications in Accounting, Commerce, Finance or a related field.Skills:· Ability to explain complex financial data in simple terms, coupled with strong written skills for reports and documentation preparation.· Tackles budgeting and forecasting challenges creatively.· Skilled in tendering and procurement.· Active listening to understand stakeholder needs.· Supports decision-makers with relevant financial insights.· Interprets data to identify trends, risks, and opportunities.· Connects financial metrics to business strategy.· Makes data-driven recommendations.· Prioritises tasks during reporting cycles and audits.· Manages multiple deadlines across departments.· Balances routine tasks with strategic projects.· Identifies inefficiencies and proposes cost-saving measures.· Adapts to changing business conditions.· Responds well to shifting priorities or regulations.· Embraces continuous improvement and learns new systems and tools quickly.· Ensures accuracy in financial reports and models.· Spots discrepancies and resolves them proactively.· Maintains compliance with policies and standards.· Handles sensitive financial data responsibly.· Upholds transparency and accountability.· Maintains confidentiality and professional ethicsExperience:· At least 5 years’ relevant work experience in a similar role.· Experience in the Not for Profit or health services sector desirable.· Experience with Xero general ledger or other accounting packages.· Experience with the timely provision of reliable reports.Knowledge:· Knowledge of cost accounting and reporting, accounting standards (AASB’s) principles, financial governance practices and quality standards.· Cost control and cost allocation methods.· Payroll processes, practices and compliances.· Capital budgeting (NPV, IRR, payback).· Scenario and sensitivity analysis.· Business case development and investment appraisal.· Risk assessment and mitigation strategies.· Knowledge of business and management principles involved in strategic planning and resource allocation.· Excellent knowledge of risk analysis, budgeting, forecasting and variance analysis.· Understanding of banking, analysis and reporting of financial data",2025-08-25 04:09:04+00:00,2026-04-20 06:33:08+00:00,therapeuticguidelines,SYD
34,Head of Senior School,"The Head of Senior School will play a pivotal role in shaping the educational journey of students, ensuring excellence in academic performance and holistic development. This leadership position encompasses a range of responsibilities aimed at fostering an enriching learning environment and promoting the school’s vision.Key Responsibilities:Lead and manage the Senior School staff, providing direction, support, and professional development opportunities to enhance teaching practices.Develop and implement strategic initiatives that align with the school's mission and goals to improve student outcomes.Oversee the curriculum design and ensure that it meets national standards while catering to the diverse needs of students.Foster a positive school culture that encourages respect, inclusivity, and collaboration among students, staff, and parents.Monitor student progress through data analysis and assessment results, implementing interventions as necessary to support academic achievement.Engage with parents and guardians to provide updates on student progress and involve them in school activities and decision-making processes.Manage budgets related to the Senior School operations, ensuring efficient allocation of resources for maximum impact on learning experiences.Represent the Senior School within the broader educational community, building relationships with external stakeholders such as local authorities and educational bodies.This position requires a dynamic leader who is passionate about education reform, possesses strong organisational skills, and is capable of inspiring both staff and students towards achieving excellence.",HSS,"Required skillsStrong leadership and management abilitiesExceptional communication and interpersonal skillsStrategic thinking and decision-making capabilitiesProficiency in curriculum development and educational best practicesAbility to foster a positive school culture and community engagementCompetence in performance management and staff developmentFinancial acumen for budget management and resource allocationUnderstanding of relevant educational legislation and policiesRequired experiencesA minimum of 5 years of leadership experience within an educational setting, preferably at a senior levelTrack record of successfully implementing school improvement initiativesDemonstrated experience in managing diverse teams effectivelyExperience in engaging with parents, stakeholders, and the wider communityA background in teaching with a strong understanding of secondary education systemsEvidenced success in developing programmes that cater to a variety of student needsExperience in data analysis to inform educational strategies and outcomesKeen insight into current trends in education technology integration",2025-08-15 00:27:40+00:00,2026-03-02 03:09:46+00:00,tomorrowspeople,SYD
11,Category Manager - Bananas & Service Provision,"To lead the category team in delivering improved performance, reporting, accountability and business development opportunities of the assigned Categories, as well as the optimisation and development of national supply relationships in support of Premier’s overall strategic direction and organisational structure.",Category Manager - Bananas & SP,QUALIFICATIONS:A tertiary qualification in business or a related discipline is highly regarded. SKILLS & EXPERIENCE:Strong commercial and negotiation skills. Seasoned Knowledge; 5+ years’ experience as a successful Sales Representative or Manager within fresh produce.  Understanding fresh produce seasonality and subsequent operational needs. PERSONAL ATTRIBUTES:Great Communicator; with excellent written and verbal English skills. Motivated and Responsive; you have an aptitude to drive the sales process from plan to close.Ambitious; ready to meet and exceed sale expectations.Multi-tasker: you can adapt to a fast-paced environment by prioritising your tasks,2025-02-17 09:50:21+00:00,2025-09-22 03:17:10+00:00,premierfresh,SYD
27,Educational Leader -SA,"To lead and be responsible for, the effective and efficient development and implementation of the activities and educational program in the service and to ensure the establishment of clear goals and expectations for teaching and learning.",OPS-L2-006,"Diploma or higher in Children’s Services (or working towards)
Employee Working With Children Check (or willing to obtain)
Experience in program planning and curriculum development
Sound understanding of “My Time, Our Place” framework
Experience mentoring and guiding other educators
Strong documentation, reflection, and evaluation skills
First Aid, Anaphylaxis, Asthma, and CPR Certificates (or willing to obtain)
A passion for leading learning experiences for school-aged children",2025-05-09 01:08:15+00:00,2026-01-07 04:10:18+00:00,ourpatchgroup,SYD
43,Human Resources Partner,"The HR Partner supports the delivery of effective, practical and people focused HR services across the organisation. Working in partnership with the HR Manager and leaders, the role provides sound HR advice and supports the implementation of people initiatives that build capability, promote wellbeing, and maintain a positive and inclusive workplace culture. The HR Partner operates with a degree of independence while working within established frameworks and guidance, contributing to consistent and compliant people practices that support organisational outcomes.Responsibilities: Working in partnership with the HR Manager, the HR Partner will:Provide timely and practical HR advice to leaders on employee relations, performance, and workplace matters, escalating complex issues where requiredSupport leaders to foster a positive, inclusive and values-driven workplace, including initiatives related to wellbeing, Diversity, Equity and Inclusion (DEI) and engagementAssist with recruitment, onboarding and induction processes, partnering with hiring managers to ensure a smooth and positive employee experienceSupport workforce planning activities and contribute to capability development initiativesAssist in the implementation of organisational learning and development initiatives, including culture and engagement activitiesProvide support in managing employee relations matters, including documentation, coordination, and facilitating fair processesAssist in the development, review and consistent application of HR policies, procedures, and frameworksSupport compliance with employment legislation, the (MEA), and organisational policiesContribute to WHS processes, including incident reporting, risk identification and promoting safe work practicesLiaise with Payroll to ensure accurate and timely processing of HR related changesMaintain accurate HR records and systems including administering the HRIS, and contribute to continuous improvement of HR processes",Human Resources Partner,"Qualifications and Experience· Tertiary qualifications in Human Resources, or other relevant discipline; or equivalent experience (mandatory).· Demonstrated experience in a Human Resources Advisor or HR Partner/generalist role (mandatory).· Experience working in a not-for-profit community service environment (desirable).· Experience working with diverse communities or First Nations workforce (highly desirable) Key Selection Criteria· Commitment to Consumer Action’s vision, purpose and values, with the ability to quickly develop a strong understanding of its operating environment and impact.· Demonstrated ability to provide practical, timely HR advice and support to managers across a range of people matters, including performance, employee relations and day to day workforce issues.· Strong organisational and time management skills, with the ability to prioritise tasks, manage competing demands and deliver outcomes within agreed timeframes.· Effective interpersonal and communication skills, with the ability to build positive working relationships, support leaders, and communicate clearly on HR processes and expectations.· Experience supporting employee relations matters, including conflict resolution, performance management, and addressing workplace concerns in a fair and consistent manner.· Sound understanding of HR processes across the employee lifecycle, including recruitment, onboarding, induction, learning and development, performance and offboarding.· Working knowledge of employment legislation, industrial instruments, WHS requirements, and HR policies, with the ability to apply these in providing accurate and compliant advice within established guidelines.· Ability to work collaboratively within a team environment, contributing to HR initiatives and continuous improvement of systems and processes.· Demonstrated cultural competence, including the ability to work respectfully and effectively with people from diverse backgrounds, including First Nations peoples, and to apply inclusive and culturally responsive approaches in HR practices and workplace interactions",2026-05-26 05:39:32+00:00,2026-05-26 05:39:32+00:00,consumeraction,SYD
23,Client Experience and Operations Manager,"PurposeThe Client Experience and Operations Manager is accountable for the complete client journey across all Green Leaf Group businesses and software platforms, with the primary purpose to ensure our client experience is revolutionary to healthcare - enabling us to retain clients long term and achieve the mission of Green Leaf Group.This includes ensuring every touchpoint - from initial enquiry and onboarding through service delivery, retention, and ongoing support - is meeting consistent, high-quality standards.As the Client Experience and Operations Manager for the Green Leaf Group, you are responsible for leading and optimising the operations of the Client Services, Logistics, and Pharmacy teams. You will also work collaboratively with senior management across the Green Leaf Group entities to develop and implement operational strategies, drive continuous improvement, and align departmental goals with the organisation’s vision and values.This pivotal role holds responsibility for aligning client experience, operational execution, and regulatory governance requirements. This includes designing, implementing, and continuously improving operational processes that support high quality patient care, protect clinicians and pharmacists, and maintain defensible standards under regulatory scrutiny.This role is designed to evolve over time:In the first phase, the Client Experience and Operations Manager will focus on operational stability, consistency, and risk reduction across Client Services, Logistics, and Pharmacy. This includes strengthening team capability, simplifying and embedding SOPs, improving booking accuracy, and ensuring complaints and exceptions are managed in a consistent and defensible manner.As operational foundations stabilise, the role will transition towards client journey redesign, systems and workflow optimisation, and longer-term experience strategy. This transition will be actively supported by the organisation and reviewed with the CEO at agreed milestones.Our Purpose, Vision and Core ValuesGreen Leaf Solutions is embarking on a groundbreaking mission to revolutionise healthcare. From redefining the essence of health to reimagining the significance of care in healthcare, we're committed to reshaping the experience of both our clients and our team members.We achieve this by upholding our values of:Genuine Commitment to CareAudacious attitudeNurture ownershipJump at opportunities for growthAltruistic Collaboration Decision Making and AuthorityThe Client Experience and Operations Manager holds delegated authority for operational decisions impacting the client journey across Client Services, Logistics, and Pharmacy, within agreed clinical, regulatory, and financial boundaries.Where client expectations, operational constraints, and clinical or regulatory requirements intersect, the role is responsible for balancing competing priorities and making sound, defensible decisions. Clear escalation pathways will be maintained to the CEO, Medical Director, and executive leadership team for matters involving patient safety, clinical governance, or material regulatory or reputational risk.Measures of SuccessSuccess in this role will be reflected through outcomes such as:Improved consistency and quality of the client and patient experienceReduced complaints and clearer root cause resolutionImproved booking accuracy and reduced operational reworkStronger alignment between client experience processes and clinical expectationsImproved staff engagement, capability, and retention within operational teamsReduced operational and regulatory risk through clearer SOPs and system improvements Specific Duties and ResponsibilitiesStrategic Planning and Execution:The role leads operational change across multiple teams and entities, driving standardisation, simplification, and continuous improvement in a growing and regulated healthcare environment. This includes:Leading teams through change with clarity, empathy, and accountability;Managing stakeholder expectations, including clinicians, senior leaders, and external partners;Setting and enforcing clear operational standards, including where difficult decisions are required;Balancing pace of improvement with sustainability and staff wellbeing.Develop and execute operational strategies that align with the company’s long-term vision and support efficient collaboration between Client Services, Logistics, and Pharmacy teams.Translate strategic goals into actionable operational plans that support business growth, efficiency, and exceptional client experiences.Ensure alignment of operations across Client Services, Logistics, and Pharmacy to deliver cohesive, high-quality outcomes.  Team Leadership and ManagementProvide strong leadership to the Client Services, Logistics, and Pharmacy teams, ensuring cohesive and high-performing operations.Foster a culture of accountability, collaboration, and continuous improvement, promoting accuracy, simplicity, efficiency, and innovation.Conduct regular performance evaluations and provide coaching, feedback, and mentoring to team members.Build team structure under your management to ensure business goals are met.Recruit, onboard, and develop high-performing staff in collaboration with the People & Culture team.Oversee the organisation of rosters and manage leave schedules to ensure adequate staffing levels and uninterrupted operations.Provide payroll information, including hours worked and leave records, to the People & Culture team in a timely and accurate manner.  Training and DevelopmentOversee design and implementation of induction and training programs that build team competency in areas such as client communication and regulatory compliance.Develop and manage the induction programme for all new staff to ensure consistency and quality of onboarding.Support ongoing professional development through mentoring, coaching, and performance feedback.Ensure staff induction and performance reviews are completed on schedule and properly recorded in accordance with company policy.Champion a learning culture across teams, encouraging innovation, accountability, and professional growth.  Performance Monitoring and ReportingDefine and monitor KPIs across Client Services, Logistics, and Pharmacy to measure efficiency, accuracy, and client satisfaction.Analyse performance data and prepare regular reports for senior management, highlighting successes, risks, and opportunities for improvement.Develop actionable insights from data to drive strategic decision-making and process optimisation.  Client Experience and Complaints ManagementEnsure all complaints are handled promptly, professionally, and appropriately, maintaining high standards of client satisfaction and compliance.Liaise with Product Strategy Manager for all product complaints and follow resolution processes as directed.Monitor complaint trends and collaborate with teams to implement improvements that prevent recurrence and enhance service quality.  Systems and Process Improvement and InnovationThe Client Experience Manager is accountable for the effective use and continuous improvement of systems supporting the client journey, including CRM, booking platforms, dispensing systems, and operational workflow tools. This includes:Defining operational requirements for systems and automation;Prioritising system improvements based on risk, efficiency, and client impact;Working collaboratively with technology, product, and external vendors;Reducing reliance on manual workarounds that introduce risk, inconsistency, or error.Identify opportunities to streamline workflows, automate manual processes, and enhance internal controls across all operational areas.Implement technology-driven solutions to improve efficiency and data accuracy.Lead continuous improvement projects, ensuring that all initiatives align with client satisfaction and operational excellence.  Facility Management:Ensure the wellbeing of staff and maintain a safe and comfortable environment.Manage and update pharmacy facilities to support operational needs and enhance the client experience.Oversee and coordinate resolution of technical and property issues, including hardware, Vemo systems, dispensary equipment, property maintenance and related infrastructure needs.  Compliance and Regulations:Stay informed on relevant laws and regulations governing healthcare operations.Ensure compliance with industry regulations, standards, and internal policies to mitigate risks and maintain integrity across operations. Financial Management and Budgeting:Manage operational budgets, monitoring expenditures and optimising resource allocation to achieve financial objectives.Identify cost-saving opportunities and implement measures to enhance profitability while maintaining operational standards.  Risk Management and Clinical Governance:The Client Experience Manager works closely with the Medical Director and Executive and Senior Leadership Teams to ensure all client experience processes, communications, and service models operate within established clinical governance frameworks. This includes:Ensuring operational practices support safe, appropriate prescribing and continuity of care.Avoiding operational or client driven pressure that could compromise clinical judgement.Embedding medicolegal requirements into booking pathways, patient communications, and service workflows.Supporting clinicians through clear, consistent, and defensible operational standards.Client experience initiatives must always align with clinical governance, patient safety, and regulatory obligations. Maintain operational readiness for regulatory review, audit, and external scrutiny. This includes ensuring clear documentation, consistent application of SOPs, and decision making that can be justified under regulatory and legal review.The role proactively identifies operational practices that could expose the organisation, clinicians, or directors to regulatory, medicolegal, financial, or reputational risk, and implements mitigations in collaboration with senior leadership.Implement contingency plans and crisis management protocols to ensure business continuity in the event of unforeseen circumstances or disruptions.  Standard Operating Procedures (SOPs):Develop, implement, and communicate SOPs to ensure consistent, high-quality care and services.Ensure all operational processes and SOPs are continually reviewed, simplified, and improved to enhance efficiency and the client experience.Monitor compliance with SOPs, provide training and support to staff, and continuously review and update procedures to maintain effectiveness and alignment with industry best practices.  Communication and Collaboration:Facilitate effective communication within and between departments and entities to enhance service delivery and client care.Participate in team meetings, providing updates and feedback from client interactions.Work collaboratively with team members to achieve business goals and improve client service strategies.  Health, Safety and Wellbeing: Comply with all the group’s policies, standards and procedures.Demonstrates employee health, safety and wellbeing is a high priority by incorporating health, safety and wellbeing into regular formal and informal group and individual meetings. Be familiar with emergency and evacuation procedures.Report all incidents, near misses and injuries immediately.Actively cooperate with any rehabilitation programme that is arranged to assist recovery from injury for yourself or for fellow employees.  Vision, Values, and Organisational Culture:Uphold the Green Leaf Group values and demonstrate these within your work.Participate as an active citizen within Green Leaf Group by playing an active role in culture, team events, and daily organisational life.  General Duties:Be punctual and work the hours and times specified.Prioritise workload to ensure work of the greatest importance to the business is undertaken with urgency and to a high standard.Support and help develop a positive workplace culture.Demonstrate excellent interpersonal communication skills.Responsibly manage all business resources within accountability levels.Undertake all duties and responsibilities outlined in this job description and all other duties as required by the business.Comply with all employment obligations.Promptly undertake to complete all reasonable and lawful instructions and directions given.Serve the business in good faith, promoting and protecting the business's best interests.During work time, and such other times as may be reasonably required, dedicate all effort to the execution and fulfillment of the duties, responsibilities, obligations, and instructions related to employment.Demonstrate through own actions a commitment to Health and Safety at work when undertaking work or observing others in the workplace.",YUDC-MGMT/COM,"Minimum of 5 years’ experience in operations management, with demonstrated success overseeing multi-functional teams.Proven experience managing teams, ideally within the healthcare, pharmaceutical, or related sectors.Demonstrated ability to develop, implement, and monitor operational strategies, KPIs, and process improvements.Demonstrated judgement in balancing client experience, operational efficiency, and regulatory or clinical risk.Experience leading operational change in complex or regulated environments.Strong stakeholder management skills, including working with clinical and senior leadership .Strong understanding of regulatory compliance and healthcare operational standards.Proficiency in Microsoft Office Suite (Word, Excel, Outlook) and familiarity with operational systems, CRM tools, or workflow management platforms.Prior experience within a shared services environment supporting multiple business entities.Analytical thinking.Client-centric mindset.Problem solving abilities. ",2026-03-03 00:39:27+00:00,2026-03-25 22:59:07+00:00,greenleafgroup,SYD
