Assignment Rule ID,COURSE_ID,Assignment Rule Name,Assignment Rule Description,Assignment Rule Created Date,Assignment Rule Modified Date,Assignment Rule Is Active,Assignment Rule Is Confirmed,Assignment Rule Is Required Course,Assignment Rule Is Recommended Course,CLIENT_NAME,CLIENT_REGION
36,147,"Plant 2A - Metal Prep - transom part, bulk parts, press one, ext. misc., guillo press, coil one, floater, trim - bottomside, trim - stretch topside",Dynamically assign necessary SOP & VOC documents to this employee group. Note: Supervisor is essentially hard code to exclude the tack-tig floater employee from this group. We may need another custom profile field to make this more dynamic if it causes issues.,2024-02-24 05:33:21+00:00,2024-06-28 01:20:10+00:00,False,True,True,False,telwater,SYD
30,202,Coordinator Compliance Mandatory Training,This training is based on the Training Needs Analysis (TNA's) completed in conjunction with Manager 2021.,2021-03-12 02:12:21+00:00,2022-11-07 05:34:51+00:00,True,True,True,False,subiaco,SYD
504,1290,AU SEC - DISP - Clearance Requirement,"DISP Security Awareness Requirement ACT 112300130 / 3012130 - Australian Taxation Office (ATO) 112300017 / 3012017 - Telstra (DCD) 112300284 / 3012284 - Discovery House 112300475 / 3012475 - Department of Health 112300191 / 3012191 - Dept of Prime Minister & Cabinet 112300192 / 3012192 - National Gallery 112300260 / 3012260 - National Library of Australia 112300201 / 3012201 - War Memorial 112300495 - Department of Agriculture, Fisheries & Forestry - ACT 112300285 - Australian Bureau of Statistics NSW 102300130 / 3002130 - Australian Taxation Office (ATO) 102300131 / 3002131 - Google 102300018 / 3002018 - Telstra - Global Data Centre 102300194 / 3002194 - Department of Foreign Affairs and Trade 102300495 - Department of Agriculture, Fisheries & Forestry - NSW NT 108300260 / 3015260 - ASCO Australia QLD 104300194 / 3004194 - Department of Foreign Affairs and Trade 104300495 - Department of Agriculture, Fisheries & Forestry - QLD SA 105300130 / 3005130 - Australian Taxation Office (ATO) 105300207 / 3005207 - University of SA 105300239 / 3005239 - University of SA - Whyalla Campus TAS 107300130 / 3013130 - Australian Taxation Office (ATO) 107300203 / 3013203 - Australian Antarctic Div VIC 103300130 / 3003130 - Australian Taxation Office (ATO) 103300131 / 3003131 - Google 103300254 / 3003254 - Victoria Police 103300194 / 3003194 - Department of Foreign Affairs and Trade 103300495 - Department of Agriculture, Fisheries & Forestry - VIC WA 106300130 / 3006130 - Australian Taxation Office (ATO) 106300589 / 0000000 - L3Harris",2022-12-05 01:43:03+00:00,2026-04-30 21:36:07+00:00,True,True,True,False,wilson,SYD
651,247,"People, Quality & Risk (PQR) - OP1071",Board Governance Coordinator. Updated July 2025.,2024-02-28 22:32:09+00:00,2026-05-04 01:26:15+00:00,True,True,True,False,anglicaresa,SYD
1133,486,Holmesglen Wards,"Paterson, Mackellar, Dennis, Kendall, DOSA As per policy. Rule created 1/10/2018. CB",2018-10-01 05:11:18+00:00,2018-10-01 05:11:39+00:00,True,True,True,False,healthscope,SYD
166,140,VIC - VIVA Energy Refining Geelong,These modules are to be completed by all personnel working on the VIVA Energy Refining Geelong site. These modules have been selected to ensure the appropriate level of skill and knowledge to perform the Officers required duties,2021-01-20 03:51:12+00:00,2023-07-14 06:20:29+00:00,False,True,True,False,msssecurity,SYD
478,225,AU SEC - CLIENT - Bio CSL (3003248),Work life balance Mental Health Awareness,2022-07-29 06:21:41+00:00,2025-07-04 01:10:37+00:00,False,True,True,False,wilson,SYD
6,53,OLD - New Contact Centre Employee Induction Courses,Induction courses of all new Contact Centre Employees. Please note all new Contact Centre Employees will be enrolled in 3 additional courses: - RG 78 Breach Reporting - RG 271: Internal Dispute Resolution - RG 274 Design and Distribution Obligations for Financial Products,2025-01-13 22:58:46+00:00,2026-05-10 23:38:02+00:00,False,True,True,False,caresuper,SYD
744,1432,NZ SEC - Patrols,"Patrol Officer Training NAT-MPP: Master (300310000), National ATM Services (300809105), AKP-MPP: Master (301310000), NCR NZ:AKP-MPP (301310004), Mobile Patrols - City 6:AKP-MPP (301310011), KAI-MPP: Master (302310000), KAT-MPP: Master (303310000), KKE-MPP: Master (304310000), WRE-MPP: Master (306310000), WLG-MPP: Master (320310000), Mobile Patrols - Whiskey 5:WLG-MPP (320310007), HLZ-MPP: Master (322310000), Master:NPE-MPP (326310000), NPE-MPP: Mobile Patrols - 443 (326310038), NPL-MPP: Master (327310000), ROT-MPP: Master (329310000), TUO-MPP: Master (331310000), TRG-MPP: Master (332310000), TOK-MPP: Master (334310000), WHK-MPP: Master (336310000), CHC-MPP: Master (350310000), ASH-MPP: NCR NZ (351310004), BLN-MPP: Master (352310000), DUD-MPP: Master (353310000), Mobile Patrols - Bravo: DUD-MPP (353310053), GMN-MPP: Master (354310000), IVC-MPP: Master (355310000), NSN-MPP: Master (356310000), OAM-MPP: NCR NZ (357310004), ZQN-MPP: Master (358310000), TIU-MPP: Master (359310000) ,",2026-07-07 18:25:19+00:00,2026-07-08 23:19:35+00:00,True,True,True,False,wilson,SYD
72,112,"Registered Nurse Manaaki (excludes Manaaki Theatre, manually assigned courses) 2026",RN working in Theatre. Excludes Manaaki Theatre which has additional rules manually assigned by Manager / ACN,2025-12-11 20:29:32+00:00,2026-04-14 03:02:12+00:00,True,True,True,False,mercyhospital,SYD
