Job Role ID,Job Role Title,Job Role Description,Job Role Identifier,Job Role Skills and Experience,Job Role Created Date,Job Role Modified Date,CLIENT_NAME,CLIENT_REGION
124,Ranger Team Leader - Pt Campbell,"The Ranger Team Leader plays a pivotal role in leading and supporting a team of Rangers in providing exceptional experiences for visitors to Victoria's Surf Coast & Great Ocean Road region, including its parks and reserves. As a Ranger Team Leader, you are responsible for leading the on-ground management of GORCAPA's estate, consistent with organisational priorities, policies and procedures, ensuring that people can enjoy the outdoors and protecting the things that make our parks and reserves so special. You will lead a team in delivering a variety of projects and services including (but not limited to): working with Traditional Owners in joint management and other partnership arrangements conservation program delivery (such as pest plants and animals, threatened species) visitor infrastructure and asset construction and maintenance (such as roads, walking tracks, day visitor areas and campgrounds) compliance and enforcement activities the delivery of education programs engagement with the community, licensed tour operators and other commercial operations, and volunteers. Ranger Team Leaders are also encouraged to participate in Victoria’s fire and emergency management arrangements as part of Forest Fire Management Victoria (if applicable)",Ranger Team Leader - Pt Campbell,"1. Qualifications and experience • Relevant qualifications and skills for the management of GORCAPA's estate, such as environmental science, natural resource management, conservation and land management, outdoor education, community engagement, or a relevant trade. • Demonstrated experience and a record of achievement working as a Ranger or in an equivalent natural resource management role, with proven ability to supervise staff and deliver complex on ground services and projects. • Current Victorian driver’s licence. 2. Communication and interpersonal skills • Ability to give clear direction, provide constructive feedback, and motivate staff delivering works under your supervision. • Strong interpersonal skills and excellent verbal communication, including the ability to explain concepts to people of different backgrounds and to engage constructively with stakeholders. • Proven ability to prepare clear written communications, including work plans, reports, and correspondence. 3. Supervision and teamwork • Demonstrated ability to supervise and support staff, allocate workloads, and manage budgets and other resources to deliver agreed outcomes. • Demonstrated ability to foster a collaborative and respectful team culture that promotes safety, inclusion, and high performance. • Demonstrated commitment to high standards of integrity, accountability and professionalism in the workplace. 4. Problem solving and continuous improvement • Proven ability to use professional judgement, experience and initiative to resolve operational and service delivery issues and to realise opportunities for improvement. • Capacity to implement operational improvements that enhance safety, efficiency and effectiveness in service and project delivery. 5. Community engagement • Demonstrated capacity to work effectively with Traditional Owners, volunteers, contractors, community groups and park users in the delivery of park management services. • Proven ability to represent GORCAPA positively and build constructive relationships with stakeholders. 6. Accountability and reliability • Proven ability to work with autonomy and take responsibility for the quality, timeliness, and accuracy of your own work and that of your team.",2025-10-10 06:49:46+00:00,2026-03-11 01:17:54+00:00,gora,SYD
95,Human Resources Support Officer,Purpose of the position The Human Resources Support Officer is responsible in administering the human resources process including end to end recruitment; providing efficient human resourcing for the Authority; and to support process improvement and development activities that drive an efficient and effective human resources function in alignment with operational and strategic objectives.,Human Resources Support Officer,"Qualifications and experience: A certificate, diploma or tertiary qualification in Human Resources. Demonstrated experience in Human Resources administration, with a sound knowledge of human resource practices (3+ years). Experience HRIS system e.g. ELMO (desirable). Experience working in a politically sensitive environment within a government authority, maintaining discretion and confidentiality (desirable). Knowledge and skills: Proven track record in engaging, building and maintaining effective working relationships with a range of stakeholders, to achieve desired outcomes. Professional and ethical approach with a high level of self-motivation and initiative. Highly developed organisational, verbal and written communication skills, with an attention to detail and creativity in an environment with competing priorities. Ability to reference and interpret relevant legislation, awards and enterprise agreements within varied industries Demonstrated ability to work independently and collaboratively, as part of multi-skilled team.",2025-10-10 06:49:45+00:00,2025-12-22 00:17:55+00:00,gora,SYD
4,Group Chief Financial Officer,Responsible for the group's financial management performance,Group Chief Financial Officer,"Bachelor's Degree, CA/CPA",2026-07-01 23:46:49+00:00,2026-07-01 23:46:49+00:00,balco,SYD
90,Waste Truct Offsider,"The Waste Truck Offsider plays a vital role in supporting the efficient operation of waste collection services within the Mornington Shire Council. This position involves direct assistance to the waste truck driver and is essential for ensuring that waste is collected safely and effectively throughout the community. Key Responsibilities include: Assisting the driver with navigating collection routes and ensuring timely service delivery. Loading and unloading waste materials from residential and commercial properties onto the waste collection vehicle. Ensuring compliance with all health and safety regulations while performing duties, including wearing appropriate personal protective equipment (PPE). Performing routine checks on equipment and tools to ensure they are in good working condition. Maintaining clear communication with the driver regarding any issues encountered during collections. Engaging positively with members of the public, addressing any inquiries or concerns regarding waste management services. Participating in training sessions to improve skills related to waste management practices and safety protocols. This role requires a proactive approach to teamwork, a commitment to public service, and an understanding of environmental sustainability principles. The Waste Truck Offsider will contribute significantly to maintaining clean and safe environments for all residents of Mornington Shire Council.",Waste Truck Offsider-Stream B-Level 4,"Required skills Strong understanding of waste management practices and procedures. Ability to operate and maintain waste collection vehicles safely. Excellent communication skills for effective interaction with team members and the public. Physical fitness and stamina to perform manual tasks associated with waste collection. Basic problem-solving skills to address issues that may arise during operations. Knowledge of health and safety regulations related to waste handling. Required experiences A minimum of 1 year experience in a similar role within the waste management or environmental services sector. Demonstrated experience in working collaboratively within a team environment. Experience operating heavy vehicles or machinery, with relevant certifications preferred. Proven track record of adhering to safety protocols in operational activities. Experience dealing with the public, particularly in service-oriented roles.",2025-04-10 01:57:47+00:00,2026-07-02 00:15:07+00:00,mornington,SYD
23,Individual and Community Training Coordinator,"This role oversees the day-to-day operation of the Individual Training and Educational Workshop stream. It includes the processing of leads generated from the community via phone, email, and website. Developing and monitoring the bi-yearly public facing training calendar. The successful applicant has human services sector experience and an understanding of the impacts of complex trauma and vicarious trauma. This position requires the successful applicant to respond to the community and to guide and support them to engage in the training that offers the best experience possible for their needs. Each day is unique and provides the opportunity to build collaborative relationships with the professional community. This role also requires a level of leadership experience and program management to provide day-to-day support for any supervisees and other members of the team and provide reporting and feedback to the Executive Manager.",Individual and Community Training Coordinator,"Tertiary Qualifications in a related human services field and/or education A minimum of three years' experience in a program coordination role with leadership experience An understanding of trauma-informed practice, complex trauma and vicarious trauma Excellent time management skills and the ability to prioritise tasks and meet deadlines Ability to maintain confidentiality and boundaries Excellent telephone manner and interpersonal skills and an ability to manage difficult conversations Excellent written communication skills High level proficiency in the use of the Microsoft Office suite Ability to work autonomously and as part of a team Takes initiative and can demonstrate strong communication skills Experience, or sound understanding, of the non-for-profit sector (desirable) Experience in training administration (desirable) An understanding of trauma informed practice (desirable)",2026-06-01 00:33:50+00:00,2026-06-08 22:57:07+00:00,blueknot,SYD
75,Reception,"To be the first point of contact for Livingstone, Greet and assist visitors, answer incoming calls, and provide general administrative support, To create a positive and welcoming environment for our guests and ensuring smooth daily operations.",Reception,"NCEA Level 2, Certificate in Administration Level 4 or higher is advantageous, A Full DriversÕ License, Office administration, reception or customer service experience, Excellent verbal and written communication skills ,Strong interpersonal skills with the ability to build rapport with visitors and colleagues. Proficient in using office equipment, such as phone systems, printers, and computers.,Familiarity with basic administrative tasks and office management procedures.Exceptional organizational and multitasking abilities. Attention to detail and accuracy in handling information.Professional appearance and demeanour. Ability to remain calm and composed in fast-paced and demanding situations. High level of integrity and respect for confidentiality.",2025-10-24 04:15:17+00:00,2025-11-24 01:35:44+00:00,livingstone,SYD
109,Senior Verification & Validation Engineer,"EN.TVTE.P4 Work collaboratively within a multi-disciplinary team to define Verification and Validation (V&V) requirements, determine test scope and deliverables, plan V&V activities and deliver desired V&V outcomes. Apply domain knowledge in performing risk or regression analysis to create test requirements associated with new design or design changes. Apply technical competency in development of test plans, test cases and methods. Conduct V&V activities to verify GME product’s features and functionalities. Creation and maintenance of V&V plan, protocol, test reports, requirement traceability matrix and test scripts. Development, deployment and maintenance of automated test systems. Development and maintenance of V&V software tools. Supporting general V&V activities within the team. Participate in optimising the V&V engineering process and continuously improving V&V procedures. Maintenance of test setup and equipment. Undertakes training in accordance with development and compliance programs. Any other duties as directed.",Senior Verification & Validation Engineer,"Skills Required: Strong verbal and written communication skills Demonstrated ability to work independently or in a team environment and get along with work colleagues. Organised and detail-oriented, able to meet deadlines. Able to manage multiple projects at one time and prioritise competing demands. Strong analytical skills Self-starter Experience: 8+ years’ experience in similar role. Experience in product design verification and validation or similar domain. Experience and proficiency in using test equipment and instruments to conduct electrical measurements (Radio Frequency, audit, battery & power supply, embedded software, mobile phone App, etc). Experience and knowledge of safety and compliance standards. Experience in developing test system development with Python scripting language is highly desirable. Knowledge and experience in RF, Radio Communications and/or embedded software is highly desirable. Experience in debugging of electronic/RF hardware or embedded software is highly desirable. Qualifications, Certifications and Memberships Required Bachelor's degree in (Mechatronic, Electrical, Electronic or Communication Engineering) or equivalent Able to obtain and maintain a NV1 Australian Government Security Clearance.",2024-12-02 23:38:50+00:00,2025-11-13 04:04:30+00:00,gmeau,SYD
63,Supports Coordination Assistant,"This position has been developed as part of the HSA Support Worker Pathway into a Supports Coordinator Role. While reporting to the First Base Manager, it is expected you will work under the general direction of the Supports Coordinator team.",Supports Coordination Assistant,"• Entry level for graduates with a relevant three year degree that undertake work related to the responsibilities under this level- pay point 3; • Entry level for graduates with a relevant four year degree that undertake work related to the responsibilities under this level- pay point 4; • Associate diploma with relevant experience; or • Relevant certificate with relevant experience, or experience attained through previous appointments, services and/or study of an equivalent level of expertise and/or experience to undertake the range of activities required • Working knowledge of statutory requirements relevant to the role of Supports Coordination, or the ability to rapidly acquire. • Prior customer service with administration skills. • Highly developed interpersonal verbal and written communication skills. • Excellent communication and interpersonal skills, including negotiating and report writing with ability to interact with participants with varying disabilities. • Sound knowledge of procedural and operational methods or the ability to rapidly acquire. • NDIS Orientation Module • Current ‘C’ class driver’s license. • Hold a current Disability Worker Screening (yellow card) and a working with children check (blue card) or eligible to apply. • High level of computer skills including sound knowledge of the MS Office Suite and enterprise application software.",2026-06-22 00:31:49+00:00,2026-06-22 00:31:49+00:00,homesupport,SYD
143,Director of Technical Solutions & Tenders,"The Director of Technical Solutions & Tenders leads the technical presales and tender response functions, ensuring the organisation provides accurate, compelling, and technically robust solution information throughout the sales cycle. This role oversees Technical Solutions Consulting and the Tenders team, providing strategic direction, operational leadership, and cross-functional alignment with Sales, Product, and Delivery teams. The position ensures technical accuracy, supports complex solution design, drives best practices across tenders and technical engagements, and enhances the organisation’s ability to win high-value opportunities. The Director plays a key role in scaling technical capability, strengthening the quality of tender submissions, and ensuring integration, security, and architectural standards are clearly articulated to prospects.",DTST-001,"Extensive leadership experience in technical presales, solution architecture, or enterprise IT roles Strong understanding of SaaS architecture, integrations, APIs, security frameworks, and technical design principles Proven experience managing tender or bid response functions, ideally in SaaS or enterprise software Ability to translate complex technical concepts into clear, customer-friendly explanations Strong capability in leading technical discovery, scoping sessions, and complex solution design Experience collaborating with Product, Engineering, Sales, and Delivery teams Ability to drive standardisation across technical content, tender libraries, and solution configurations Demonstrated success in developing high-quality tender responses and improving win rates Excellent stakeholder management, communication, and leadership capability Strong prioritisation, operational planning, and resource management skills",2025-12-02 22:14:37+00:00,2026-02-25 07:08:03+00:00,producttrainingsite,SYD
3,Accountant - Intermediate,Lead a team of Careerforce Workplace Advisors and Apprenticeship Vocational Pathway Advisors focusing on; Supporting the delivery of quality learner outcomes Growing the trainee and apprenticeship base in line with Careerforce strategic objectives Providing meaningful pathways for trainees in the sectors Careerforce supports Supporting activity and completion of Careerforce qualifications Developing and managing stakeholder relationships,ACCINTER,"Minimum two years Australian Public Practice experience; Bachelor Degree in Accounting, Commerce or similar; CA/CPA commenced Dedication to providing quality service to clients and managing relationships; Team player Be client focused and able to achieve optimal results; Impeccable communication skills; Ability to embrace challenges; Attention to detail; Exposure to Div 7A and FBT.",2024-10-07 04:29:29+00:00,2026-04-21 04:45:52+00:00,csmgold2,SYD
